#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"chrome","25","239","2199805485056","23883776","25542656","20376","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0,3125","59.0.3071.115","59.0.3071.115","Google Chrome","Google Chrome","Process","8",,"False",,"2272","Microsoft.Win32.SafeHandles.SafeProcessHandle","239","10312",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20376","20376","25542656","25542656","355280","355280","26005504","26005504","34496512","34496512","782229504","2199805485056","True","Normal","25542656","25542656","00:00:00.1093750","chrome","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 11:09:02",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3125000","00:00:00.2031250","782229504","2199805485056","False",,,,"23883776","23883776",,
"chrome","25","1381","2199537467392","115286016","98533376","55680","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","53,03125","59.0.3071.115","59.0.3071.115","Google Chrome","Google Chrome","Process","8",,"False",,"2684","Microsoft.Win32.SafeHandles.SafeProcessHandle","1381","11704",".","1116124","Import-Csv - Google Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","55680","55680","98533376","98533376","682960","682960","182906880","182906880","223600640","223600640","609914880","2199633170432","True","Normal","98533376","98533376","00:00:14.5000000","chrome","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 11:09:00",,"System.Diagnostics.ProcessThreadCollection","00:00:53.0312500","00:00:38.5312500","514211840","2199537467392","False",,,,"115286016","115286016",,
"chrome","25","184","2199127924736","8163328","2043904","11336","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0,09375","59.0.3071.115","59.0.3071.115","Google Chrome","Google Chrome","Process","8",,"False",,"2068","Microsoft.Win32.SafeHandles.SafeProcessHandle","184","11864",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11336","11336","2043904","2043904","174736","174736","2052096","2052096","9404416","9404416","104669184","2199127924736","True","Normal","2043904","2043904","00:00:00.0625000","chrome","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 11:09:00",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00.0312500","104669184","2199127924736","False",,,,"8163328","8163328",,
"concentr","25","262","103997440","12849152","2760704","16488","C:\Program Files (x86)\Citrix\ICA Client\concentr.exe","Citrix Systems, Inc.","0,25","14.1.0.0","14.1.0","Citrix Connection Center","Citrix ICA Client","Process","8",,"False",,"2716","Microsoft.Win32.SafeHandles.SafeProcessHandle","262","10404",".","0","","System.Diagnostics.ProcessModule (concentr.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16488","16488","2760704","2760704","205608","205608","3506176","3506176","14626816","14626816","117104640","117104640","True","Normal","2760704","2760704","00:00:00.1250000","concentr","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 08:43:15",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2500000","00:00:00.1250000","103997440","103997440","False",,,,"12849152","12849152",,
"conhost","25","85","2199110795264","4911104","5013504","7456","C:\WINDOWS\system32\conhost.exe","Microsoft Corporation","0,015625","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2748","Microsoft.Win32.SafeHandles.SafeProcessHandle","85","3256",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7456","7456","5013504","5013504","164184","164184","5177344","5177344","9576448","9576448","88326144","2199111581696","True","Normal","5013504","5013504","00:00:00.0156250","conhost","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 11:01:54",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","87539712","2199110795264","False",,,,"4911104","4911104",,
"conhost","25","207","2199124791296","15187968","4026368","13576","C:\WINDOWS\system32\conhost.exe","Microsoft Corporation","1,734375","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2780","Microsoft.Win32.SafeHandles.SafeProcessHandle","207","7788",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13576","13576","4026368","4026368","190808","190808","4079616","4079616","15204352","15204352","101801984","2199125057536","True","Normal","4026368","4026368","00:00:01.4687500","conhost","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 11:11:58",,"System.Diagnostics.ProcessThreadCollection","00:00:01.7343750","00:00:00.2656250","101535744","2199124791296","False",,,,"15187968","15187968",,
"conhost","25","108","2199117078528","6496256","5316608","9632","C:\WINDOWS\system32\conhost.exe","Microsoft Corporation","0,0625","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2808","Microsoft.Win32.SafeHandles.SafeProcessHandle","108","7856",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9632","9632","5316608","5316608","178184","178184","5476352","5476352","11354112","11354112","94609408","2199117864960","True","Normal","5316608","5316608","00:00:00.0625000","conhost","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 10:45:55",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00","93822976","2199117078528","False",,,,"6496256","6496256",,
"conhost","25","108","2199117107200","6463488","5316608","9632","C:\WINDOWS\system32\conhost.exe","Microsoft Corporation","0,078125","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2840","Microsoft.Win32.SafeHandles.SafeProcessHandle","108","7864",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9632","9632","5316608","5316608","178184","178184","5423104","5423104","11300864","11300864","94375936","2199117631488","True","Normal","5316608","5316608","00:00:00.0625000","conhost","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 10:39:30",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00.0156250","93851648","2199117107200","False",,,,"6463488","6463488",,
"conhost","25","84","2199107452928","4751360","4984832","7320","C:\WINDOWS\system32\conhost.exe","Microsoft Corporation","0,03125","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2872","Microsoft.Win32.SafeHandles.SafeProcessHandle","84","8100",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7320","7320","4984832","4984832","157600","157600","5091328","5091328","9388032","9388032","84721664","2199107977216","True","Normal","4984832","4984832","00:00:00.0156250","conhost","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 11:01:50",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","84197376","2199107452928","False",,,,"4751360","4751360",,
"csrss","0","503","2199080841216","2191360","1880064","13920",,,,,,,,"Process","13",,,,,,"503","512",".","0","",,,,,"13920","13920","1880064","1880064","159272","159272","2555904","2555904","39669760","39669760","68108288","2199091363840",,,"1880064","1880064",,"csrss",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"57585664","2199080841216","False",,,,"2191360","2191360",,
"csrss","25","552","2199124492288","8192000","2424832","24672",,,,,,,,"Process","13",,,,,,"552","7296",".","0","",,,,,"24672","24672","2424832","2424832","233800","233800","23437312","23437312","93745152","93745152","219865088","2199243120640",,,"2424832","2424832",,"csrss",,"True","25","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"101236736","2199124492288","False",,,,"8192000","8192000",,
"dasHost","0","72","2199044702208","507904","876544","5288",,,,,,,,"Process","8",,,,,,"72","1924",".","0","",,,,,"5288","5288","876544","876544","39216","39216","1183744","1183744","5099520","5099520","25640960","2199048896512",,,"876544","876544",,"dasHost",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"21446656","2199044702208","False",,,,"507904","507904",,
"devenv","25","1942","1156808704","301285376","371286016","200920","C:\Program Files (x86)\Microsoft Visual Studio 14.0\Common7\IDE\devenv.exe","Microsoft Corporation","380,6875","14.0.25420.1 built by: D14REL","14.0.25420.1","Microsoft Visual Studio 2015","Microsoft? Visual Studio? 2015","Process","8",,"False",,"2988","Microsoft.Win32.SafeHandles.SafeProcessHandle","1942","1436",".","1115712","ProjetV - Microsoft Visual Studio","System.Diagnostics.ProcessModule (devenv.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","200920","200920","371286016","371286016","1604152","1604152","381444096","381444096","448352256","448352256","1249320960","1249320960","True","Normal","371286016","371286016","00:01:09.4062500","devenv","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 10:38:45",,"System.Diagnostics.ProcessThreadCollection","00:06:20.6875000","00:05:11.2812500","1156808704","1156808704","False",,,,"301285376","301285376",,
"dllhost","25","165","2199137525760","10706944","3747840","18072","C:\WINDOWS\system32\DllHost.exe","Microsoft Corporation","0,296875","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"3024","Microsoft.Win32.SafeHandles.SafeProcessHandle","165","3008",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18072","18072","3747840","3747840","136856","136856","4386816","4386816","11096064","11096064","117067776","2199140323328","True","Normal","3747840","3747840","00:00:00.2187500","dllhost","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 10:37:56",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2968750","00:00:00.0781250","114270208","2199137525760","False",,,,"10706944","10706944",,
"dwm","25","585","2199390629888","48078848","78352384","43712",,,,,,,,"Process","13",,,,,,"585","7180",".","0","",,,,,"43712","43712","78352384","78352384","499496","499496","129646592","129646592","148606976","148606976","473214976","2199496470528",,,"78352384","78352384",,"dwm",,"True","25","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"367374336","2199390629888","False",,,,"48078848","48078848",,
"explorer","25","2240","2199927111680","107950080","346300416","134168","C:\WINDOWS\Explorer.EXE","Microsoft Corporation","193,484375","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","Explorateur Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"2404","Microsoft.Win32.SafeHandles.SafeProcessHandle","2240","8456",".","65742","","System.Diagnostics.ProcessModule (Explorer.EXE)","1413120","204800","System.Diagnostics.ProcessModuleCollection","134168","134168","346300416","346300416","1088496","1088496","783560704","783560704","201089024","201089024","1356701696","2200379957248","True","Normal","346300416","346300416","00:01:41.6562500","explorer","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 08:43:00",,"System.Diagnostics.ProcessThreadCollection","00:03:13.4843750","00:01:31.8281250","903856128","2199927111680","False",,,,"107950080","107950080",,
"firefox","25","331","293167104","35778560","18583552","20496","C:\Program Files (x86)\Mozilla Firefox\firefox.exe","Mozilla Corporation","71,34375","54.0.1","54.0.1","Firefox","Firefox","Process","8",,"False",,"2804","Microsoft.Win32.SafeHandles.SafeProcessHandle","331","716",".","0","","System.Diagnostics.ProcessModule (firefox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20496","20496","18583552","18583552","452552","452552","19902464","19902464","63328256","63328256","334880768","334880768","True","Normal","18583552","18583552","00:00:23.8750000","firefox","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 09:21:54",,"System.Diagnostics.ProcessThreadCollection","00:01:11.3437500","00:00:47.4687500","293167104","293167104","False",,,,"35778560","35778560",,
"firefox","25","597","1112989696","79695872","323141632","111592","C:\Program Files (x86)\Mozilla Firefox\firefox.exe","Mozilla Corporation","519,03125","54.0.1","54.0.1","Firefox","Firefox","Process","8",,"False",,"2408","Microsoft.Win32.SafeHandles.SafeProcessHandle","597","5004",".","0","","System.Diagnostics.ProcessModule (firefox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","111592","111592","323141632","323141632","638816","638816","617238528","617238528","645079040","645079040","1256923136","1256923136","True","Normal","323141632","323141632","00:00:29.6718750","firefox","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 09:21:55",,"System.Diagnostics.ProcessThreadCollection","00:08:39.0312500","00:08:09.3593750","1112989696","1112989696","False",,,,"79695872","79695872",,
"firefox","25","1033","986382336","123314176","267575296","120048","C:\Program Files (x86)\Mozilla Firefox\firefox.exe","Mozilla Corporation","356,671875","54.0.1","54.0.1","Firefox","Firefox","Process","8",,"False",,"1952","Microsoft.Win32.SafeHandles.SafeProcessHandle","1033","7036",".","918360","Courrier - olivier.jacob2015@campus-eni.fr - Mozilla Firefox","System.Diagnostics.ProcessModule (firefox.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","120048","120048","267575296","267575296","723352","723352","712466432","712466432","745684992","745684992","1265819648","1265819648","True","Normal","267575296","267575296","00:01:01.5937500","firefox","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 09:21:53",,"System.Diagnostics.ProcessThreadCollection","00:05:56.6718750","00:04:55.0781250","986382336","986382336","False",,,,"123314176","123314176",,
"Idle","0","0","65536","4096","0","0",,,,,,,,"Process","0",,,,,,"0","0",".","0","",,,,,"0","0","0","0","0","0","0","0","4096","4096","65536","65536",,,"0","0",,"Idle",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"65536","65536","False",,,,"4096","4096",,
"IpOverUsbSvc","0","244","124833792","2523136","9113600","16792",,,,,,,,"Process","8",,,,,,"244","2480",".","0","",,,,,"16792","16792","9113600","9113600","169736","169736","9719808","9719808","13705216","13705216","132775936","132775936",,,"9113600","9113600",,"IpOverUsbSvc",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"124833792","124833792","False",,,,"2523136","2523136",,
"lsass","0","1409","2199079301120","9629696","7995392","23064",,,,,,,,"Process","9",,,,,,"1409","744",".","0","",,,,,"23064","23064","7995392","7995392","131400","131400","8572928","8572928","14671872","14671872","61829120","2199085084672",,,"7995392","7995392",,"lsass",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"56045568","2199079301120","False",,,,"9629696","9629696",,
"Memory Compression","0","0","599392256","235417600","1236992","0",,,,,,,,"Process","8",,,,,,"0","2748",".","0","",,,,,"0","0","1236992","1236992","4224","4224","1622016","1622016","559890432","559890432","825098240","825098240",,,"1236992","1236992",,"Memory Compression",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"599392256","599392256","False",,,,"235417600","235417600",,
"Microsoft.Photos","25","1150","894775296","116051968","82980864","66080","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2017.18062.12990.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe","Microsoft Corporation","135,078125","1.0.1706.13001","1.0.170613001-buildrelease","Microsoft.Photos.exe","Photos","Process","8",,"False",,"2060","Microsoft.Win32.SafeHandles.SafeProcessHandle","1150","4288",".","0","","System.Diagnostics.ProcessModule (Microsoft.Photos.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","66080","66080","82980864","82980864","779456","779456","95854592","95854592","158318592","158318592","965955584","965955584","True","Normal","82980864","82980864","00:00:34.4687500","Microsoft.Photos","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 08:51:16",,"System.Diagnostics.ProcessThreadCollection","00:02:15.0937500","00:01:40.6250000","894775296","894775296","False",,,,"116051968","116051968",,
"Microsoft.VsHub.Server.HttpHost","25","1302","816381952","73687040","136654848","154068","C:\Program Files (x86)\Common Files\Microsoft Shared\VsHub\1.0.0.0\Microsoft.VsHub.Server.HttpHost.exe","Microsoft Corporation","54,375","14.0.25420.1","14.0.25420.1","Microsoft.VsHub.Server.HttpHost.exe","Microsoft? Visual Studio? 2015","Process","8",,"False",,"1832","Microsoft.Win32.SafeHandles.SafeProcessHandle","1302","7804",".","0","","System.Diagnostics.ProcessModule (Microsoft.VsHub.Server.HttpHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","154068","154068","136654848","136654848","670664","670664","137596928","137596928","161341440","161341440","837042176","837042176","True","Normal","136654848","136654848","00:00:22.3750000","Microsoft.VsHub.Server.HttpHost","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 10:39:30",,"System.Diagnostics.ProcessThreadCollection","00:00:54.3750000","00:00:32","816381952","816381952","False",,,,"73687040","73687040",,
"Microsoft.VsHub.Server.HttpHostx64","25","734","18784260096","74485760","157298688","629600","C:\Program Files (x86)\Common Files\Microsoft Shared\VsHub\1.0.0.0\Microsoft.VsHub.Server.HttpHostx64.exe","Microsoft Corporation","41,046875","14.0.25420.1","14.0.25420.1","Microsoft.VsHub.Server.HttpHostx64.exe","Microsoft? Visual Studio? 2015","Process","8",,"False",,"2800","Microsoft.Win32.SafeHandles.SafeProcessHandle","734","9568",".","0","","System.Diagnostics.ProcessModule (Microsoft.VsHub.Server.HttpHostx64.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","629600","629600","157298688","157298688","447616","447616","199835648","199835648","162062336","162062336","1648611328","18828480512","True","Normal","157298688","157298688","00:00:08.4375000","Microsoft.VsHub.Server.HttpHostx64","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 10:45:55",,"System.Diagnostics.ProcessThreadCollection","00:00:41.0468750","00:00:32.6093750","1604390912","18784260096","False",,,,"74485760","74485760",,
"MpCmdRun","0","259","2199069929472","9707520","2985984","12432",,,,,,,,"Process","8",,,,,,"259","3396",".","0","",,,,,"12432","12432","2985984","2985984","97464","97464","3141632","3141632","11190272","11190272","49815552","2199073071104",,,"2985984","2985984",,"MpCmdRun",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"46673920","2199069929472","False",,,,"9707520","9707520",,
